industry,first_radar_date,last_radar_date,consecutive_radar_days,last_missing_key,last_missing_text,last_breadth,last_vol_ratio,last_avg_ret20,last_watch_level,status,exited_date,updated_at
测试,2026-07-01,2026-07-01,1,,x,0.42,,,WATCH,,,2026-07-12 00:20:44
近触发,2026-07-01,2026-07-01,1,ret20,20 日收益转正,0.42,1.05,-0.009000000000000001,STRONG_WATCH,EXITED,2026-07-01,2026-07-12 00:20:44
IT设备,2026-07-10,2026-07-10,1,vol_ratio,量比 0.98，距离 1.0 还差 0.02,0.35135135135135137,0.9766759768882886,0.018383406770964367,STRONG_WATCH,EXITED,2026-07-01,2026-07-12 00:11:54
造纸,2026-07-09,2026-07-09,1,ret20,20 日收益仍为 -3.1%,0.36363636363636365,1.0418757280842248,-0.031255088657569215,WATCH,EXITED,2026-07-10,2026-07-10 20:59:44
服饰,2026-07-03,2026-07-03,1,ret20,20 日收益仍为 -1.5%,0.5,1.0288449035936191,-0.015083710062139728,WATCH,EXITED,2026-07-01,2026-07-06 22:51:32
仓储物流,2026-07-03,2026-07-03,1,ret20,20 日收益仍为 -4.6%,0.35555555555555557,1.1860965091720361,-0.046022124140243884,WATCH,EXITED,2026-07-01,2026-07-06 22:51:32
其他建材,2026-07-03,2026-07-03,1,ret20,20 日收益仍为 -5.6%,0.37037037037037035,1.0120129785291343,-0.05625564144148586,WATCH,EXITED,2026-07-01,2026-07-06 22:51:32
